Id,Text,IsRetweet,IsSelfMentioned,Retweets#,Favorites#,Hashtags#,Medias#,Mentions#,SenderId,SenderAccountYears,SenderFavorites#,SenderFollowings#,SenderFollowers#,SenderStatues#,SenderLocation,IsCyberbullying
1.1627e+18,şu pavyon sahibi tipinizle çekilin önümden,False,False,0,0,0,0,0,9.01887e+17,2,22691,154,556,10414,mersin,True
1.15968e+18,beklemeyi bıraktığında gelir diyen murphy kanununu amınakoyim bunu öğrendiğimden beri aklımdan çıkmıyo ve sürekli istemsizce beklemeye başlıyorum murphy ananınamk,False,False,0,0,0,0,0,1.10369e+18,0,12,20,13,63,adana,True
1.13122e+18,maddi manevi ruhsal sinirsel her anlamda çökük durumdayım,False,False,11,76,0,0,0,8.85913e+17,2,18064,1088,2122,583,istanbul,False
1.15894e+18,her sabah 6da birisinin alarmı çalıyor hangi evden geldiğini anlamıyorum ama o alarmı bu kadar mesafeden ben duyuyorum o yavşak uyanıp da kapatamıyor,False,False,0,0,0,0,0,1960445995.0,6,368,116,2109,608,kocaelikırklareli,True
1.15868e+18,olm ne üniversitesi ne sınavı ya delirdiniz mi 21 ağustosta gidiyosunuz macfite başvuruyosunuz tamamdır aq,False,False,17,580,0,0,0,1465612656.0,6,9361,116,35334,29805,istanbul,False
1.16266e+18,kur an kıssaları temsili diyerek küfre giren ve mısır da hakkında küfr le ilgi yargı kararı olan mürted ebu zeyd i ist müftüsü maşalı tdv islam ansiklopedisinde övüyor sünni müslümanlara islamcı ehli sünnet e gelenekçi islam diyen mezhepsiz reformist ahmak,False,False,0,0,0,0,0,2645189556.0,5,3610,889,2485,36727,türkiye,True
1.16094e+18,hizmette sınır tanımıyorum bu bayram da getir götür getir götür,False,False,0,0,0,0,0,1.06081e+18,1,3625,175,185,398,salihli,False
1.15725e+18,demirköprü mahalle muhtarı seçilen hüseyin şahan ı ziyarette bulunarak hayırlı olsun dileklerimizi ilettik ve mahallemizin sorunları hakkında istişarelerde bulunduk,False,False,19,58,0,4,2,1260104658.0,6,6387,456,6249,3047,antakyahatay,False
1.16306e+18,pubg ne abaza dolusun kardeşim,False,False,0,0,0,0,0,1829937656.0,6,14324,735,1217,11119,samsun,True
1.15863e+18,toplumca ense yapmayi her firsatta 12 taksitle odenen tatillere cikmayi uretmekten ziyade salla basi al maasi halini eforsuz para kazanmayi kisa yoldan kose donmeyi zengin birilerine yancilik yapmayi gucluye yalaka seviyoruz durust olalim o sebeple 1 arpa boyu yol alamiyoruz,False,False,0,0,0,0,0,1.09034e+18,0,41846,494,1078,15292,türkiye,True
1.16274e+18,oglum sen ne ayaksin lan ist su altinda biraz cakis amk gotunu kaldirda bi gel baj kente olu var zarar var hadi hadi hadi,False,False,0,0,0,0,1,360645629.0,8,1640,195,104,6803,istanbul,True
1.11873e+18,bu şehrin sessizliği kulağımı tırmalıyor,False,False,13,285,0,0,0,9.91178e+17,1,2533,674,714,713,kocaeli,False
1.16083e+18,bazen aşk istiyorum bazen yalnızlık iyidir diyorum bazen yalnızlıktan ölüyorum bazen kimseye tahammül edemiyorum ne bok yediğimi bilmiyorum,False,False,22,269,0,0,0,561233755.0,7,59209,10077,14316,28271,gebze,False
1.16026e+18,eşcinsel gördüm ablasına aşık olanı gördüm öğrenciye aşık olan gördüm ama bana aşık olanı göremedim amk,False,False,24,256,0,0,0,561233755.0,7,59209,10077,14316,28271,gebze,False
1.15843e+18,hahaha vah inişteye,False,False,0,0,0,0,2,9.79998e+17,1,135319,5232,11096,53234,izmir,False
1.15769e+18,bir çiçekle güler kadın bir küçük lafla hüzün,False,False,0,10,0,1,0,1.13461e+18,0,689,57,111,78,kahramanmaraş,False
1.20707e+18,şükredin ki vicdanım var da çoğu şeye engel oluyor yoksa hayatınızı domal orospu çocukları,False,False,0,2,0,0,0,1.20703e+18,0,3,36,15,28,istanbul,True
1.15843e+18,ft ne demek adım fatma ya kendimce kisalttim aşırı zekice,False,False,0,0,0,0,0,1.03111e+18,1,3387,107,81,2745,besiktas,False
1.32155e+17,besiktasli olmak bam baska seviyom seni besiktas,False,False,268,108,0,0,0,278482682.0,8,4,9,35237,51,istanbul,False
1.16089e+18,intifa hakki gozlerini acmak masalsi bitkisel hidro karşıyaka eskort bayan çıtır izmir manisa sex te sınır tanımıyor cuvallamasinisaglamak denklem magribi beslenen,False,False,3,3,1,1,0,1.16028e+18,0,0,12,0,1,sivas,True
1.15865e+18,25 liraya 10 gün mü oha iyiymis aqq hadi gidek alak,False,False,0,0,0,0,2,7.1173e+17,3,595,66,92,221,adana,False
1.10866e+18,antakya esat ağa iş hanında ayakkabıcı esnafımız ile bir araya geldik projelerimizden bahsettik hatay ımızı hakettiği gönülbelediyeciliği hizmetleriyle buluşturmak için birlik beraberlik kardeşlik parolasıyla yola devam ediyoruz memleketişigönülişi,False,False,65,134,2,4,0,1148197230.0,6,7460,324,10078,4765,hatay,False
1.20727e+18,aq ibne sen isminle ne kadar alakasız bir hesapsin seni borsaci diye takip etmiştim lan ben,False,False,0,0,0,0,1,9.6436e+17,1,294,181,4,66,,True
1.16252e+18,muecahidincenazesiniverin mücahidincenazesiniverin bu kadarda aşağılık olmayın,False,False,0,0,2,0,0,1.02572e+18,1,2361,307,76,2778,türkiye,True
1.20724e+18,kucağımda yarağımı yerkende kıvıracak şimdikinden tek farkı yarağımı yedikçe aldığı zevkten dolayı inlemeleri olacak,False,False,0,1,0,0,1,1.16232e+18,0,5947,1233,182,3431,,True
1.15897e+18,atatürk olmasaydı hepinizin anasını yunan inletecekti ama paşam ananızı kendisi inletmiş anlaşılan gavat s400 ü kendin mi üretin böyle konuşuyon mal belki çalışmayacak savaş zamanı nee biliyon adam bi bilgisayar ile kontrol ediyor belki biliyormusun ne salak,False,False,0,0,0,1,1,1.08518e+18,0,296,589,290,529,ankara,True
1.1584e+18,yap işlet devret aracılığıyla,False,False,0,0,0,0,1,7.8685e+17,3,963,2261,2285,2705,türkiye,False
1.20725e+18,hard sexci ibine alttamısın üsttemisin lan gevat,False,False,0,0,0,0,1,1.02027e+18,1,6029,896,60,956,tarsus,True
1.14364e+18,belkide yanlış kişilerle yanlış zamandayız bu yüzden bu üzülmeler,False,False,35,976,0,0,0,1.14306e+18,0,30574,3604,4024,416,türkiye,False
1.15883e+18,hem doğa katilleri hem yüzsüzler chp li muğla bb fethiye körfezine atık su tesislerinin kapasitesini 50 aşıp lağımın denize göz göre göre boşalmasına birde pişkince bunun sebebinin belediyenin değil tarım yapan çiftçi olduğunu söylüyor pes,False,False,0,0,0,1,0,1589788860.0,6,118621,29867,33551,57673,türkiye,True
1.16246e+18,senin laz burnuna tükürüyüm amk bunağı ya akıllanmayacak mısın sen he valverdeout,False,False,0,0,1,0,1,2336658877.0,5,10433,216,234,2401,türkiye,True
